ID,SMILES,act_mean,Type
CHEMBL1075766,COC(=O)C[C@H]1C(C)(C)[C@H](OC(C)=O)[C@@H]2C=C3[C@H]([C@H](OC(C)=O)C[C@]4(C)[C@H]3CC(=O)O[C@H]4c3ccoc3)[C@@]1(C)C2=O,29.166667,1
CHEMBL107581,CN(CC(=O)O)NC(=O)C[C@H](N)C1CC1N,128,0
CHEMBL107584,Oc1nc2nonc2nc1-c1ccc[nH]1,128,0
CHEMBL1075897,c1ccc(CON=C2C3C(c4ccccc4)CC(c4ccccc4)C2C(c2ccccc2)NC3c2ccccc2)cc1,200,0
CHEMBL1076784,O=C1C2=N[C@@H]3C[C@@]45CC(C(=O)C=C4S3)N3CCc4c[nH]c1c4C3=C25,100,0
CHEMBL1076863,COc1ccc(-c2nnc(-c3cc(Cl)ccc3Br)o2)c(F)c1,6,1
CHEMBL1076877,c1ccc2cc(-c3nc4ccccc4c4cc5ccccc5n34)c(-c3nc4ccccc4c4cc5ccccc5n34)cc2c1,5,1
CHEMBL1076886,c1ccc(-c2nc3ccccc3c3cc4ccccc4n23)c(-c2nc3ccccc3c3cc4ccccc4n23)c1,5,1
CHEMBL1076887,c1cc(-c2nc3ccccc3c3cc4ccccc4n23)cc(-c2nc3ccccc3c3cc4ccccc4n23)c1,5,1
CHEMBL1076919,O=C(Nc1ccc(F)cc1)Nc1c(-c2ccc(F)cc2)nc2ccccc2c1O,6.25,1
CHEMBL1076922,O=[N+]([O-])c1c(CCl)nc2sccn12,125,0
CHEMBL1076938,Fc1cccc(-c2nc3ccccc3c3oc(NCc4ccccc4)nc23)c1,6.25,1
CHEMBL1077024,CCCCO[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1,16,1
CHEMBL1077037,Cc1cc2oc(=O)cc(CN=[N+]=[N-])c2cc1S(=O)(=O)Nc1ccccc1[N+](=O)[O-],1,1
CHEMBL1077071,Cc1cc2oc(=O)cc(CN=[N+]=[N-])c2cc1S(=O)(=O)Nc1ccc(Cl)cc1Cl,31.25,1
CHEMBL1077098,CC1CCC[C@@H]2[C@]1(C)CC[C@H](C)[C@@]2(C)CC1=CC(=O)C(Cl)=CC1=O,50,0
CHEMBL1077147,O=Cc1cc2c(cc1O)[nH]c1ccccc12,64,0
CHEMBL1077212,Oc1ccc(/C(Cc2ccc(Cl)cc2)=N\c2ccc(Br)cc2)c(O)c1,25,1
CHEMBL1077221,Oc1ccc(/C(Cc2ccc(F)cc2)=N\c2ccc(Cl)cc2)c(O)c1,50,0
CHEMBL1077230,Oc1ccc(/C(Cc2ccc(Cl)cc2)=N\c2ccc(Br)cc2)cc1O,25,1
CHEMBL1077248,Oc1ccc(/N=C(/Cc2ccc(F)cc2)c2ccc(O)c(O)c2)cc1,50,0
CHEMBL1077271,CCCCCCC/C=C/C(C)=O,200,0
CHEMBL1077326,C=CCCCCCCCCc1nnc(Nc2ccccc2)s1,12.5,1
CHEMBL1077657,O=C(CSc1nnc(-c2ccc(S(=O)(=O)c3ccccc3)cc2)[nH]1)c1ccccc1,64,0
CHEMBL1077663,O=S(=O)(c1ccc(Cl)cc1)c1ccc(C2=NN3C(c4ccc(Br)cc4)=CSC3N2)cc1,512,0
CHEMBL1077727,O=C(CSc1nnc(-c2ccc(S(=O)(=O)c3ccc(Br)cc3)cc2)[nH]1)c1ccc(Br)cc1,128,0
CHEMBL1077728,O=S(=O)(c1ccc(Br)cc1)c1ccc(C2=NN3C(c4ccccc4)=CSC3N2)cc1,128,0
CHEMBL1077843,O=C(CSc1nnc(-c2ccc(S(=O)(=O)c3ccccc3)cc2)[nH]1)c1ccc(Br)cc1,512,0
CHEMBL1077853,O=S(=O)(c1ccc(Br)cc1)c1ccc(C2=NN3C(c4ccc(Br)cc4)=CSC3N2)cc1,128,0
CHEMBL1077948,O=S(=O)(c1ccccc1)c1ccc(C2=NN3C(c4ccccc4)=CSC3N2)cc1,128,0
CHEMBL1077975,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,1.25,1
CHEMBL1077986,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@](O)(CN)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,25,1
CHEMBL1078016,O=C1C=CC(=O)C12C=CC1(Oc3cccc4cccc(c34)O1)C2O,8.0075,1
CHEMBL1078110,CCCCCCC(O)C/C=C\CCCCCCCc1nnc(Nc2ccccc2)s1,6.25,1
CHEMBL1078111,CCCCC/C=C\CCC(O)CCCCCCCc1nnc(Nc2ccccc2)s1,6.25,1
CHEMBL1078146,O=S(=O)(c1ccc(Br)cc1)c1ccc(-c2nnc(S)[nH]2)cc1,64,0
CHEMBL107823,NC1CCN(c2nc3c(cc2F)c(=O)c(O)cn3-c2nccs2)C1,50,0
CHEMBL1078243,O=C(CSc1nnc(-c2ccc(S(=O)(=O)c3ccc(Br)cc3)cc2)[nH]1)c1ccccc1,128,0
CHEMBL1078271,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@](O)(CNCCN)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,6.25,1
CHEMBL1078272,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@](O)(CNCCN)C[C@H]1C[C@H]3O,6.25,1
CHEMBL1078731,O=C(CSc1nnc(-c2ccc(S(=O)(=O)c3ccc(Cl)cc3)cc2)[nH]1)c1ccccc1,64,0
CHEMBL1078732,O=C(CSc1nnc(-c2ccc(S(=O)(=O)c3ccc(Cl)cc3)cc2)[nH]1)c1ccc(Br)cc1,64,0
CHEMBL1078919,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@](O)(CN)C[C@H]1C[C@H]3O,25,1
CHEMBL1079047,O=S(=O)(c1ccccc1)c1ccc(C2=NN3C(c4ccc(Br)cc4)=CSC3N2)cc1,128,0
CHEMBL1079048,O=S(=O)(c1ccc(Cl)cc1)c1ccc(-c2nnc(S)[nH]2)cc1,1024,0
CHEMBL107907,CN(CC(=O)O)NC(=O)CC(N)C1CCCC(N)C1,256,0
CHEMBL1079286,COC(=O)C1(O)C(=O)C(C)=COc2oc3cccc(O)c3c(=O)c21,50,0
CHEMBL107929,N#CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N/OCCF)c3csc(N)n3)CN2C1,32,1
CHEMBL1079315,CCCCCCCC/C=C\CCCCCCCc1nnc(Nc2ccccc2)s1,12.5,1
CHEMBL107942,CN[C@H]1CN(c2nc3c(cc2F)c(=O)c(C(C)=O)cn3-c2nccs2)C[C@@H]1OC,6.25,1
